delta/B,5Eg(D),5T2g(D),3Eg (H),3T1g(H),3T1g(H),3T2g(H),3T1g(P),3A2g(F),3T2g(F),3T1g(F),3A1g(G),3Eg(G),3T1g(G),3T2g(G),1A1g(I),1A2g(I),1Eg(I),1T1g(I),1T2g(I),1T2g(I),3Eg(D),3T2g(D),1A1g(G),1Eg(G),1T2g(G),1T1g(G),1A1g(S),1Eg(D),1T2g(D),1A2g(F),1T1g(F),1T2g(F),3A2g(F),3T1g(F),3T2g(F),3T1g(P),1A1g(G),1Eg(G),1T1g(G),1T2g(G),1Eg(D),1T2g(D),1A1g(S)
27.1356792,0,27.1356784,23.4398191,0.152486181,24.6559158,25.7465967,41.9748354,28.5120214,44.0140038,51.0281884,27.4020101,31.6793731,61.847157,52.7183279,25.7375176,35.6328178,14.3071558,38.7914146,12.9270276,35.7964008,56.2225163,58.0523555,54.0591884,41.192353,58.4996369,56.7557224,65.1577425,63.2168266,61.5444899,73.7088907,74.7836822,73.0027575,81.2291847,77.5565377,94.8229874,88.7446771,109.99324,87.5085704,94.2897839,99.7149724,111.66454,112.88155,142.215628
27.8894482,0.570694745,28.460142,24.0150402,0,25.2282877,26.3258342,42.777848,29.1234862,44.7214397,52.3438078,27.9727048,32.2644862,63.0995314,53.9934221,25.8178505,36.2223568,14.1853329,39.397299,12.8027739,36.3783505,57.5280377,59.4036281,54.5512023,41.7679347,59.2217575,57.4285553,66.4396583,64.5367349,62.8731093,75.0145113,76.0985427,74.3219912,82.5128781,78.9923065,96.7785,90.5279598,112.075308,88.7935101,96.2402927,101.010143,112.966948,114.768651,144.147849
28.6432152,1.29496229,29.9381784,24.7436244,0,25.9542035,27.0582513,43.7238028,29.8874497,45.5721344,53.8136784,28.6969724,33.0023693,64.5027412,55.4280942,26.0441822,36.9647651,14.2144925,40.1553128,12.8304008,37.1135176,58.9881407,60.9071558,55.193691,42.497397,60.090755,58.2493807,67.8803028,66.010505,64.3554749,76.474407,77.5639095,75.7951646,83.9512198,80.5766683,98.8936018,92.4835942,114.275307,90.2335578,98.3544648,102.452829,114.423386,116.823583,146.2748
29.3969841,2.0202589,31.4172437,25.4730427,0,26.6811181,27.7913304,44.6606407,30.6514058,46.4147726,55.2851847,29.4222688,33.7405452,65.9051332,56.8688631,26.2641884,37.7075402,14.242245,40.9129962,12.8574422,37.8493756,60.4502048,62.4104799,55.8351432,43.2281671,60.9545553,59.066054,69.3262425,67.4855678,65.8389209,77.9359937,79.0277952,77.2696922,85.3916256,82.1567337,101.015347,94.4580289,116.440259,91.6760829,100.478715,103.891627,115.881294,118.892263,148.444005
30.150753,2.74653006,32.8972839,26.2032538,0,27.4089786,28.5250427,45.5887764,31.4153379,47.2503342,56.7582085,30.1485402,34.4790151,67.3073995,58.3149083,26.4780364,38.4506608,14.2686822,41.6703706,12.8839146,38.5858857,61.9141055,63.9136256,56.4763153,43.9601646,61.8134987,59.8788882,70.7767274,68.961843,67.3233241,79.3991834,80.4906168,78.7454874,86.8340025,83.7322776,103.14331,96.4501696,118.56999,93.120951,102.612073,105.327446,117.340606,120.973288,150.655198
30.9045219,3.47372484,34.3782475,26.9342173,0,28.1377324,29.2593606,46.5086219,32.1792337,48.0796457,58.2326445,30.8757349,35.2177802,68.7101168,59.7655465,26.6858882,39.1941093,14.2938882,42.4274585,12.9098354,39.3230126,63.3797299,65.4166156,57.1177927,44.6933141,62.6678781,60.6881709,72.2311508,70.4392613,68.808598,80.8638932,81.9527286,80.2224711,88.2782663,85.3032211,105.277104,98.4589146,120.664633,94.5680377,104.753678,106.761057,118.801259,123.065435,152.907853
31.6582909,4.20179796,35.8600892,27.6659008,0,28.8673367,29.9942563,47.4205741,32.9430804,48.9034083,59.7084008,31.6038078,35.956843,70.1137513,61.2202098,26.8879108,39.9378706,14.3179384,43.1842802,12.9352211,40.0607236,64.8469724,66.9194711,57.7600364,45.427544,63.517956,61.4941621,73.6890201,71.9177575,70.2946734,82.3300465,83.4144221,81.7005691,89.7243354,86.869593,107.416367,100.483181,122.724616,96.0172286,106.902769,108.193098,120.263195,125.167631,155.201176
32.4120598,4.93070459,37.3427651,28.3982676,0,29.597745,30.7297073,48.3250251,33.7068668,49.7222186,61.1853894,32.3327148,36.6961985,71.5186809,62.6784221,27.0842676,40.6819284,14.3409045,43.9408543,12.9600854,40.7989874,66.3157387,68.4222098,58.403402,46.1627889,64.3639673,62.2971055,75.1499259,73.3972714,71.781495,83.7975716,84.875941,83.1797173,91.1721319,88.431505,109.560766,102.521917,124.750629,97.4684146,109.058668,109.624106,121.726357,127.278938,157.534143
33.1658287,5.66040564,38.8262349,29.1312877,0,30.3289183,31.4656872,49.2223467,34.4705842,50.5365905,62.6635339,33.0624158,37.435848,72.9252098,64.1397814,27.2751219,41.4262701,14.362853,44.6971985,12.984446,41.5377776,67.785941,69.9248505,59.0481671,46.8989887,65.2061332,63.0972173,76.6135327,74.8777475,73.2690151,85.2664008,86.3374874,84.6598543,92.6215842,89.9891231,111.709994,104.574111,126.743604,98.921495,111.220775,111.054523,123.190695,129.39853,159.905521
33.9195976,6.39086199,40.3104598,29.8649309,0,31.0608204,32.2021759,50.1129045,35.2342261,51.3469648,64.1427638,33.7928719,38.1757852,74.3335691,65.603946,27.4606357,42.1708807,14.383843,45.4533279,13.0083141,42.2770666,69.2574975,71.4274083,59.6945477,47.6360854,66.0446545,63.8947023,78.0795553,76.3591344,74.7571922,86.7364724,87.7992261,86.1409234,94.0726244,91.5426533,113.863766,106.638804,128.70467,100.376377,113.388555,112.484717,124.656158,131.52568,162.313898
