delta/B,4T1g,4T2g,4A2g,4T1g,2T2g,2Eg,2T1g,2A1g,2T1g,2T1g,2Eg,2T2g,2T1g,2Eg,2T2g,2T1g,2T2g,2A2g,2T2g,2Eg
38.9452333,17.027143,53.7118286,92.6570619,66.4512809,36.6459047,0,35.5391978,71.6012809,42.4915659,75.3669209,77.8255091,59.0373002,84.343141,102.735327,77.8127647,116.320348,85.4087617,91.6012809,135.675712,122.418326
39.5537525,17.6296572,54.9138671,94.4676197,67.6443235,37.2455071,0,36.1345304,72.8033195,43.1011176,76.5687657,79.0279767,59.7233022,85.5423225,104.133094,78.9623195,118.116108,86.6344838,92.8033195,137.416501,124.017723
40.1622718,18.2322901,56.1162373,96.2785091,68.8379128,37.8452688,0,36.73014,74.0056897,43.7105761,77.7709513,80.2307606,60.4059229,86.7417596,105.522838,80.114572,119.912749,87.8601917,94.0056897,139.159491,125.626157
40.7707911,18.8350396,57.318929,98.0897201,70.0320274,38.4451886,0,37.3260183,75.2083813,44.3199473,78.9734655,81.4338519,61.085358,87.9414513,106.904826,81.2693763,121.710233,89.0858631,95.2083813,140.9046,127.243327
41.3793103,19.4379006,58.521932,99.9012424,71.2266531,39.0452606,0,37.9221562,76.4113844,44.9292363,80.1762982,82.6372404,61.761789,89.1413986,108.279333,82.4265933,123.508521,90.3114838,96.4113844,142.651753,128.868923
41.9878296,20.0408702,59.7252353,101.713065,72.4217708,39.6454828,0,38.5185477,77.6146876,45.5384483,81.3794371,83.8409148,62.4353895,90.3416004,109.646641,83.5860943,125.307576,91.5370396,97.6146876,144.400872,130.502635
42.5963489,20.6439452,60.9288306,103.52518,73.6173661,40.2458509,0,39.1151836,78.818283,46.1475862,82.5828742,85.0448692,63.1063164,91.5420538,111.007031,84.7477576,127.107365,92.7625183,98.818283,146.151889,132.14415
43.2048682,21.2471237,62.1327069,105.337575,74.8134219,40.8463621,0,39.7120578,80.0221592,46.7566552,83.7865984,86.2490923,63.7747201,92.7427596,112.360788,85.9114665,128.907858,93.9879118,100.022159,147.904737,133.793158
43.8133874,21.8504016,63.336857,107.150244,76.0099249,41.4470122,0,40.3091623,81.2263093,47.3656582,84.9906024,87.4535781,64.4407404,93.943714,113.708193,87.0771146,130.709022,95.213211,101.226309,149.65935,135.449349
44.4219067,22.4537769,64.5412718,108.963178,77.20686,42.0477992,0,40.9064909,82.4307241,47.9746004,86.1948763,88.6583174,65.1045071,95.1449148,115.049524,88.2446004,132.510832,96.4384097,102.430724,151.415667,137.112418
45.030426,23.0572465,65.7459432,110.776369,78.404215,42.6487181,0,41.5040375,83.6353955,48.5834848,87.3994108,89.8633032,65.766141,96.34636,116.385055,89.4138306,134.31326,97.663502,103.635396,153.17363,138.782068
45.6389452,23.6608063,66.9508631,112.589808,79.6019757,43.2497677,0,42.1017951,84.8403154,49.1923134,88.6041998,91.0685274,66.4257556,97.5480456,117.715052,90.584715,136.11628,98.8884838,104.840315,154.933182,140.458009
46.2474645,24.2644564,68.1560254,114.40349,80.8001298,43.8509442,0,42.6997586,86.0454777,49.8010903,89.8092353,92.2739838,67.0834584,98.7499696,119.039777,91.7571704,137.91987,100.113352,106.045478,156.694269,142.139955
46.8559838,24.8681927,69.3614209,116.217405,81.9986663,44.4522434,0,43.2979219,87.2508732,50.4098185,91.0145081,93.4796653,67.7393479,99.9521278,120.359481,92.9311197,139.724008,101.338102,107.250873,158.45684,143.827635
47.464503,25.4720142,70.5670446,118.031548,83.197572,45.0536653,0,43.8962789,88.456497,51.018501,92.2200132,94.6855659,68.3935183,101.154517,121.674408,94.1064878,141.528671,102.562735,108.456497,160.220846,145.520782
48.0730223,26.0759168,71.7728895,119.845912,84.3968387,45.6552049,0,44.4948256,89.6623418,51.62714,93.4257434,95.8916785,69.0460548,102.357135,122.984792,95.2832069,143.333842,103.787247,109.662342,161.98624,147.219142
48.6815416,26.6799006,72.9789473,121.660489,85.5964533,46.256859,0,45.0935548,90.8683996,52.2357373,94.6316907,97.097998,69.6970406,103.559977,124.290861,96.461212,145.139499,105.011639,110.8684,163.752977,148.92247
