delta/B,6A1g,4T1g(G),4T2g(G),4A1g/4Eg(G),4T1g(P),4T2g(D),4Eg(D),2T2g(I),2A2g(I),2T1g(I),2T2g(I),2Eg(I),2A1g(I),2T2g,2Eg,2T1g,4A2g(F),4T1g(F),4T2g(F),2A2g(H),2T2g(H),2T1g(H),2Eg(H),2T1g(H),2T2g(H),2A1g,2T2g,2Eg,2T1g,2T2g,2A2g,2T1g,2A1g(S),2Eg(D),2T2g(D),2Eg,2T1g,2T2g,2A1g,2T1g,2T2g,2Eg
13.9697323,0,21.7577744,27.386163,32.3981374,46.3527369,36.4353318,39.3981374,27.2675553,37.1311199,37.4364214,39.1785122,41.3031385,46.4116974,48.8341385,48.8988615,56.0024109,53.3573914,47.2092293,61.3321723,58.1225239,51.6058568,56.9559441,55.8911921,58.7060757,57.7234657,53.8480442,65.4623993,64.1413504,65.2823225,76.8351886,68.2166705,67.5538929,65.0201397,78.2790451,79.5283356,81.3431931,85.0364703,88.091759,90.027454,101.312076,112.557772,113.757887
14.6682186,0,21.0939064,26.8686729,32.3981374,46.6699953,36.3502817,39.3981374,25.971681,36.4800233,36.7890326,38.5774226,40.7440314,46.3443225,48.6689697,48.7471397,56.349021,53.3573914,46.6549022,61.9347125,58.1843376,51.2594098,56.9549953,55.8072794,58.717,57.6239069,53.4670978,65.8487823,64.307135,65.4910873,77.8134366,68.8059534,68.1684249,64.8986659,78.4594727,79.8122787,81.3698273,85.2364075,88.5442701,90.597248,101.480582,112.964823,114.179779
15.3667059,0,20.4278145,26.3353912,32.3981374,46.9632596,36.2741374,39.3981374,24.6705891,35.8253539,36.1376147,37.9697776,40.1720594,46.2666414,48.458227,48.5977637,56.7218487,53.3573914,46.0945029,62.5441385,58.2389104,50.9410722,56.9541886,55.7205215,58.7266589,57.5360582,53.0796717,66.2249604,64.4523446,65.6875087,78.7628754,69.4060501,68.7918172,64.7856391,78.607518,80.1209869,81.4506226,85.4404482,88.9992573,91.1753818,101.659694,113.401178,114.613836
16.0651913,0,19.7597237,25.7879814,32.3981374,47.2329511,36.2059197,39.3981374,23.36478,35.1675017,35.4826251,37.3562782,39.5889057,46.1767753,48.1912456,48.4490221,57.1202468,53.3573914,45.5284459,63.159766,58.2872398,50.6633644,56.9534948,55.6310314,58.7352328,57.4585495,52.6887602,66.5899267,64.5776915,65.8732887,79.6468696,70.0155728,69.4217555,64.680695,78.7148079,80.4916611,81.5938187,85.6479232,89.4545774,91.7611036,101.849667,113.867733,115.059392
16.7636795,0,19.0898323,25.2279441,32.3981374,47.4798638,36.1447311,39.3981374,22.0546845,34.5068009,34.824454,36.7375262,38.9960035,46.0724924,47.8625763,48.2993877,57.5432258,53.3573914,44.9571024,63.7809919,58.3301793,50.433461,56.9528952,55.5389639,58.7428731,57.390092,52.2976915,66.942837,64.6840536,66.049518,80.336681,70.6333341,70.0566636,64.5834063,78.7783504,81.0535965,81.8020935,85.8581758,89.9082433,92.3537439,102.05075,114.365283,115.515815
17.4621658,0,18.4183083,24.6566205,32.3981374,47.7050931,36.0897602,39.3981374,20.7406682,33.8435437,34.1634377,36.1140419,38.3945704,45.9511816,47.4742421,48.1475006,57.9895227,53.3573914,44.3808044,64.4072864,58.368454,50.2508999,56.9523749,55.4445111,58.7497066,57.3295134,51.9101339,67.2830081,64.77244,66.2169616,80.7823132,71.2583166,70.6954028,64.493312,78.8011595,81.8573456,82.0719833,86.0705739,90.3584494,92.9527066,102.263172,114.894501,115.982506
18.1606522,0,17.7452965,24.0752049,32.3981374,47.9099523,36.0402806,39.3981374,19.4230489,33.177979,33.4998673,35.4862771,37.7856368,45.8098615,47.0340605,47.9921315,58.457674,53.3573914,43.7998545,65.0381816,58.4026845,50.1092596,56.9519173,55.3478987,58.7558405,57.2757742,51.5300792,67.6099034,64.8439558,66.3761956,81.1451129,71.8896508,71.3370978,64.409936,78.7901804,82.7420419,82.3959627,86.2845111,90.8035867,93.5574575,102.487149,115.455917,116.4589
18.8591385,0,17.0709248,23.484752,32.3981374,48.0958987,35.9956519,39.3981374,18.1021048,32.5103295,32.8339977,34.8546228,37.1700827,45.6452549,46.5518859,47.8321735,58.9460978,53.3573914,43.2145239,65.6732631,58.4333946,49.9999127,56.9515157,55.24939,58.7613644,57.2279686,51.161759,67.9231362,64.8997753,66.527688,81.4928952,72.5265891,71.9810489,64.3327998,78.7534482,83.6402922,82.7653329,86.4994237,91.2422584,94.1675204,102.722871,116.049905,116.944466
19.5576248,0,16.3953133,22.8861932,32.3981374,48.2644505,35.9553097,39.3981374,16.7780815,31.840787,32.1660501,34.2194272,36.5486566,45.4539406,46.0368056,47.6666158,59.4531595,53.3573914,42.6250629,66.3121641,58.4610349,49.9148463,56.9511595,55.1492712,58.7663539,57.1853097,50.8094913,68.2224563,64.9411059,66.6718428,81.8421094,73.1684913,72.6266671,64.2614389,78.6982072,84.535986,83.1721106,86.7147905,91.6732945,94.7824645,102.970506,116.676666,117.438701
20.2561111,0,15.7185553,22.2803516,32.3981374,48.4171339,35.9187579,39.3981374,15.4511932,31.1695215,31.4962165,33.5809895,35.922,45.2326158,45.4961001,47.4945343,59.9772328,53.3573914,42.031702,66.9545576,58.4859884,49.8477183,56.9508428,55.0478603,58.7708754,57.1471269,50.4774098,68.5077509,64.9691688,66.8090244,82.1978231,73.8148056,73.2734342,64.195404,78.6302421,85.424305,83.6097299,86.9301444,92.0957544,95.4019057,103.230193,117.336221,117.941134
